Unit,Date,Hour Ending,MWH
WEBBER_S_WSP1,20190108,300,0
WEBBER_S_WSP1,20190108,400,0
WEBBER_S_WSP1,20190108,500,0
WEBBER_S_WSP1,20190108,600,0
WEBBER_S_WSP1,20190108,700,0
WEBBER_S_WSP1,20190108,800,0.0864
WEBBER_S_WSP1,20190108,900,1.709625
WEBBER_S_WSP1,20190108,1000,4.513275
WEBBER_S_WSP1,20190108,1100,10.5385
WEBBER_S_WSP1,20190108,1200,19.251275
WEBBER_S_WSP1,20190108,1300,16.921625
WEBBER_S_WSP1,20190108,1400,17.90875
WEBBER_S_WSP1,20190108,1500,12.3426
WEBBER_S_WSP1,20190108,1600,5.8079
WEBBER_S_WSP1,20190108,1700,2.77365
WEBBER_S_WSP1,20190108,1800,0.4608
WEBBER_S_WSP1,20190108,1900,0
WEBBER_S_WSP1,20190108,2000,0
WEBBER_S_WSP1,20190108,2100,0
WEBBER_S_WSP1,20190108,2200,0
WEBBER_S_WSP1,20190108,2300,0
WEBBER_S_WSP1,20190108,2400,0
WEBBER_S_WSP1,20190109,100,0
WEBBER_S_WSP1,20190109,200,0
WEBBER_S_WSP1,20190109,300,0
WEBBER_S_WSP1,20190109,400,0
WEBBER_S_WSP1,20190109,500,0
WEBBER_S_WSP1,20190109,600,0
WEBBER_S_WSP1,20190109,700,0
WEBBER_S_WSP1,20190109,800,0.3397
WEBBER_S_WSP1,20190109,900,2.546775
WEBBER_S_WSP1,20190109,1000,13.152025
WEBBER_S_WSP1,20190109,1100,17.182525
WEBBER_S_WSP1,20190109,1200,19.584325
WEBBER_S_WSP1,20190109,1300,16.71365
WEBBER_S_WSP1,20190109,1400,20.72565
WEBBER_S_WSP1,20190109,1500,21.650425
WEBBER_S_WSP1,20190109,1600,21.5696
WEBBER_S_WSP1,20190109,1700,15.1312
WEBBER_S_WSP1,20190109,1800,1.83665
WEBBER_S_WSP1,20190109,1900,0
WEBBER_S_WSP1,20190109,2000,0
WEBBER_S_WSP1,20190109,2100,0
WEBBER_S_WSP1,20190109,2200,0
WEBBER_S_WSP1,20190109,2300,0
WEBBER_S_WSP1,20190109,2400,0
WEBBER_S_WSP1,20190110,100,0
WEBBER_S_WSP1,20190110,200,0
WEBBER_S_WSP1,20190110,300,0
WEBBER_S_WSP1,20190110,400,0
WEBBER_S_WSP1,20190110,500,0
WEBBER_S_WSP1,20190110,600,0
WEBBER_S_WSP1,20190110,700,0
WEBBER_S_WSP1,20190110,800,0.116975
WEBBER_S_WSP1,20190110,900,1.395525
WEBBER_S_WSP1,20190110,1000,4.6349
WEBBER_S_WSP1,20190110,1100,9.132925
WEBBER_S_WSP1,20190110,1200,19.1926
WEBBER_S_WSP1,20190110,1300,11.574025
WEBBER_S_WSP1,20190110,1400,7.99565
WEBBER_S_WSP1,20190110,1500,5.76975
WEBBER_S_WSP1,20190110,1600,4.4948
WEBBER_S_WSP1,20190110,1700,3.17745
WEBBER_S_WSP1,20190110,1800,0.55035
WEBBER_S_WSP1,20190110,1900,0
